# targetAltitude=750
# t0=2024-12-20T10:30:00Z
time,altitude,velocity,horizontalVelocity,acceleration,accelerationX,accelerationY,accelerationZ,temperature,pressure,humidity,gpsLat,gpsLon,pitch,roll,yaw
0.0,0,0,0,0,0,0,0,22.5,101.3,45,37.7749,-122.4194,0,0,0
0.1,2,8,1,15.2,14.8,1.5,1.0,22.5,101.3,45,37.7749,-122.4194,1,0.5,2
0.2,8,18,3,16.5,16.0,2.0,1.5,22.4,101.2,45,37.7749,-122.4194,2,1,5
0.3,18,30,5,17.8,17.2,2.5,2.0,22.4,101.2,44,37.7750,-122.4193,3,1.5,8
0.4,32,42,8,18.2,17.5,3.0,2.5,22.3,101.1,44,37.7750,-122.4193,5,2,12
0.5,50,55,10,18.5,17.8,3.2,2.8,22.2,101.0,44,37.7751,-122.4192,7,2.5,16
0.6,72,68,12,18.0,17.2,3.5,3.0,22.1,100.9,43,37.7751,-122.4192,9,3,20
0.7,98,80,14,17.5,16.8,3.2,2.8,22.0,100.8,43,37.7752,-122.4191,11,3.5,25
0.8,128,92,16,16.8,16.0,3.0,2.5,21.9,100.7,43,37.7752,-122.4191,13,4,30
0.9,162,103,18,16.0,15.2,2.8,2.2,21.8,100.5,42,37.7753,-122.4190,15,4.5,36
1.0,200,112,19,15.2,14.5,2.5,2.0,21.7,100.4,42,37.7753,-122.4190,17,5,42
1.1,240,120,20,14.5,13.8,2.2,1.8,21.6,100.2,42,37.7754,-122.4189,18,5,48
1.2,282,126,21,13.8,13.0,2.0,1.5,21.5,100.0,41,37.7754,-122.4189,19,4.5,54
1.3,326,130,21,12.5,11.8,1.8,1.2,21.4,99.8,41,37.7755,-122.4188,20,4,60
1.4,372,132,22,11.0,10.5,1.5,1.0,21.3,99.6,41,37.7755,-122.4188,20,3.5,66
1.5,418,132,22,9.5,9.0,1.2,0.8,21.2,99.4,40,37.7756,-122.4187,19,3,72
1.6,464,130,21,7.8,7.5,1.0,0.5,21.1,99.2,40,37.7756,-122.4187,18,2.5,78
1.7,508,126,21,5.5,5.2,0.8,0.3,21.0,99.0,40,37.7757,-122.4186,16,2,84
1.8,550,120,20,3.2,3.0,0.5,0.2,20.9,98.8,39,37.7757,-122.4186,14,1.5,90
1.9,588,112,19,1.0,0.8,0.2,0.1,20.8,98.6,39,37.7758,-122.4185,12,1,96
2.0,622,102,18,-1.5,-1.2,-0.2,-0.1,20.7,98.4,39,37.7758,-122.4185,10,0.5,102
2.1,652,90,16,-3.0,-2.5,-0.5,-0.2,20.6,98.2,38,37.7759,-122.4184,8,0,108
2.2,678,78,14,-4.2,-3.8,-0.8,-0.3,20.5,98.0,38,37.7759,-122.4184,6,-0.5,114
2.3,698,65,12,-5.0,-4.5,-1.0,-0.4,20.4,97.8,38,37.7760,-122.4183,4,-1,120
2.4,714,52,10,-5.5,-5.0,-1.2,-0.5,20.3,97.6,37,37.7760,-122.4183,2,-1.5,126
2.5,724,40,8,-5.8,-5.2,-1.4,-0.6,20.2,97.4,37,37.7761,-122.4182,0,-2,132
2.6,730,28,6,-6.0,-5.5,-1.5,-0.7,20.1,97.3,37,37.7761,-122.4182,-2,-2.5,138
2.7,732,18,4,-5.5,-5.0,-1.2,-0.5,20.0,97.2,36,37.7762,-122.4181,-4,-3,144
2.8,730,8,2,-4.8,-4.2,-1.0,-0.4,19.9,97.2,36,37.7762,-122.4181,-5,-3,150
2.9,726,0,1,-4.0,-3.5,-0.8,-0.3,19.8,97.3,36,37.7762,-122.4181,-5,-2.5,156
3.0,720,-6,1,-3.5,-3.0,-0.6,-0.2,19.7,97.4,36,37.7762,-122.4181,-4,-2,162
