# targetAltitude=1500.0
time,altitude,velocity,horizontalVelocity,acceleration,accelerationX,accelerationY,accelerationZ,temperature,pressure,humidity,gpsLat,gpsLon,pitch,roll,yaw
0.0,0.0,0.0,0.0,10.158199543084027,9.773131176757811,0.39983167724609375,-2.741360900878906,20.0,101.3,50.0,0.0,0.0,-0.5801526717557252,-1.0229007633587786,0.22900763358778625
0.04,0.0,0.0,0.0,10.072251588019746,9.686939916992188,0.3711012573242187,-2.7341782958984373,20.0,101.3,50.0,0.0,0.0,-1.0381679389312977,-1.1908396946564885,0.22900763358778625
0.09,0.0,0.0,0.0,10.091544377013726,9.70369932861328,0.41898529052734373,-2.73896669921875,20.0,101.3,50.0,0.0,0.0,-0.9770992366412213,-1.1145038167938932,0.24427480916030533
0.12,0.0,0.0,0.0,10.091544377013726,9.70369932861328,0.41898529052734373,-2.73896669921875,20.0,101.3,50.0,0.0,0.0,-0.9770992366412213,-1.1145038167938932,0.24427480916030533
0.13,0.0,0.0,0.0,10.154476501599792,9.763554370117188,0.373495458984375,-2.7653029174804686,20.0,101.3,50.0,0.0,0.0,-0.8549618320610687,-1.1755725190839694,0.1984732824427481
0.18,0.0,0.0,0.0,10.122286521490654,9.746794958496093,0.39264907226562495,-2.703053674316406,20.0,101.3,50.0,0.0,0.0,-1.0229007633587786,-1.1297709923664123,0.10687022900763359
0.22,0.0,0.0,0.0,10.17730321466526,9.80665,0.3902548706054687,-2.693476867675781,20.0,101.3,50.0,0.0,0.0,-0.8244274809160306,-1.1755725190839694,0.13740458015267176
0.27,0.0,0.0,0.0,10.137060290298505,9.739612353515625,0.38307226562499996,-2.7844565307617186,20.0,101.3,50.0,0.0,0.0,-0.7938931297709924,-1.1603053435114503,0.030534351145038167
0.31,0.0,0.0,0.0,10.1529815956656,9.773131176757811,0.36391865234375,-2.7269956909179687,20.0,101.3,50.0,0.0,0.0,-1.0687022900763359,-1.1908396946564885,0.0916030534351145
0.34,0.0,0.0,0.0,10.110460467476376,9.730035546875,0.38786066894531246,-2.7198130859375,20.0,101.3,50.0,0.0,0.0,-1.0381679389312977,-1.1603053435114503,0.2900763358778626
0.37,0.0,0.0,0.0,10.120037796882439,9.734823950195311,0.430956298828125,-2.731784094238281,20.0,101.3,50.0,0.0,0.0,-0.5190839694656488,-1.1145038167938932,0.21374045801526717
0.4,0.0,0.0,0.0,10.041997885462111,9.660603698730467,0.37828386230468747,-2.7150246826171873,20.0,101.3,50.0,0.0,0.0,-0.8854961832061069,-1.083969465648855,0.13740458015267176
0.45,0.0,0.0,0.0,10.147754751584275,9.76116016845703,0.4261678955078125,-2.741360900878906,20.0,101.3,50.0,0.0,0.0,-0.7175572519083969,-1.282442748091603,-0.12213740458015267
0.48,0.0,0.0,0.0,10.051821792976781,9.64623848876953,0.3591302490234375,-2.8036101440429686,20.0,101.3,50.0,0.0,0.0,-1.297709923664122,-1.1755725190839694,0.030534351145038167
0.51,0.0,0.0,0.0,9.80136595984304,9.406818322753905,0.3591302490234375,-2.729389892578125,20.0,101.3,50.0,0.0,0.0,-2.045801526717557,-1.0229007633587786,0.9007633587786259
0.56,0.0,0.0,0.0,10.207503781128175,9.811438403320311,0.3495534423828125,-2.7940333374023436,20.0,101.3,50.0,0.0,0.0,-1.3129770992366412,-1.0381679389312977,0.2595419847328244
0.6,0.0,0.0,0.0,5.460873784933232,5.372588525390625,0.3399766357421875,-0.9169792358398436,20.0,101.3,50.0,0.0,0.0,-2.946564885496183,-1.2213740458015268,0.16793893129770993
0.61,0.0,0.0,0.0,5.460873784933232,5.372588525390625,0.3399766357421875,-0.9169792358398436,20.0,101.3,50.0,0.0,0.0,-2.946564885496183,-1.2213740458015268,0.16793893129770993
0.61,0.0,0.0,0.0,5.460873784933232,5.372588525390625,0.3399766357421875,-0.9169792358398436,20.0,101.3,50.0,0.0,0.0,-2.946564885496183,-1.2213740458015268,0.16793893129770993
0.64,0.0,0.0,0.0,6.4275508481759545,5.781997009277344,-0.5722141967773438,-2.748543505859375,20.0,101.3,50.0,0.0,0.0,-23.52671755725191,-3.984732824427481,10.183206106870228
0.67,0.0,0.0,0.0,13.434983417001618,13.067552661132812,1.0390835205078124,-2.942473840332031,20.0,101.3,50.0,0.0,0.0,23.755725190839694,3.1297709923664123,-8.412213740458014
0.7,0.0,0.0,0.0,9.931564634647929,9.49300958251953,0.33518823242187495,-2.8993782104492185,20.0,101.3,50.0,0.0,0.0,-9.16030534351145,-4.244274809160306,-0.32061068702290074
0.74,0.0,0.0,0.0,9.885732005568975,9.272743029785156,0.19632453613281248,-3.421314172363281,20.0,101.3,50.0,0.0,0.0,-11.908396946564885,-2.732824427480916,2.1374045801526718
0.78,0.0,0.0,0.0,10.181801051072842,9.651026892089844,0.2825157958984375,-3.2321722412109373,20.0,101.3,50.0,0.0,0.0,-4.442748091603053,-1.1908396946564885,0.2900763358778626
0.81,0.0,0.0,0.0,9.996647212352338,9.639055883789062,0.3687070556640625,-2.6240450195312497,20.0,101.3,50.0,0.0,0.0,-0.21374045801526717,-1.099236641221374,0.015267175572519083
0.85,0.0,0.0,0.0,10.36372716126211,10.000580334472655,0.4525041137695312,-2.6815058593749996,20.0,101.3,50.0,0.0,0.0,-0.42748091603053434,-1.1297709923664123,-0.4122137404580153
0.87,0.0,0.0,0.0,9.80693348901897,9.382876306152344,0.411802685546875,-2.8227637573242186,20.0,101.3,50.0,0.0,0.0,-2.2595419847328246,-1.0687022900763359,0.3969465648854962
0.91,0.0,0.0,0.0,10.157394547125643,9.7683427734375,0.3806780639648437,-2.7581203125,20.0,101.3,50.0,0.0,0.0,-0.7480916030534351,-1.099236641221374,0.1984732824427481
0.96,0.0,0.0,0.0,10.028217043559179,9.68454571533203,0.38786066894531246,-2.5737667846679684,20.0,101.3,50.0,0.0,0.0,-1.6793893129770991,-1.2061068702290076,0.04580152671755725
0.99,0.0,0.0,0.0,10.398493276722238,10.041281762695311,0.4477157104492187,-2.664746447753906,20.0,101.3,50.0,0.0,0.0,1.4045801526717556,-1.3435114503816794,-0.7022900763358778
1.04,0.0,0.0,0.0,10.506797339754044,10.101136804199218,0.4333505004882812,-2.858676782226562,20.0,101.3,50.0,0.0,0.0,0.7480916030534351,-1.3282442748091603,-0.7175572519083969
1.08,0.0,0.0,0.0,10.121575796147638,9.734823950195311,0.4213794921875,-2.73896669921875,20.0,101.3,50.0,0.0,0.0,-0.44274809160305345,-1.1603053435114503,0.12213740458015267
1.12,0.0,0.0,0.0,10.121575796147638,9.734823950195311,0.4213794921875,-2.73896669921875,20.0,101.3,50.0,0.0,0.0,-0.44274809160305345,-1.1603053435114503,0.12213740458015267
1.13,0.0,0.0,0.0,10.095909804493811,9.715670336914062,0.40222587890625,-2.7150246826171873,20.0,101.3,50.0,0.0,0.0,-1.2671755725190839,-1.099236641221374,0.2900763358778626
